iter	Accuracy	MultiClass
295	0.9899856938	0.2835498613
296	0.9899856938	0.2831904023
297	0.991416309	0.2819570166
298	0.991416309	0.2808336421
299	0.991416309	0.280222148
300	0.991416309	0.2793603958
301	0.991416309	0.2782524366
302	0.991416309	0.2772650282
303	0.991416309	0.276241547
304	0.991416309	0.2754179885
305	0.991416309	0.2744232135
306	0.991416309	0.2737300442
307	0.991416309	0.2726834273
308	0.991416309	0.2719862753
309	0.991416309	0.2709824815
310	0.991416309	0.2701507713
311	0.991416309	0.268635473
312	0.991416309	0.2678427803
313	0.991416309	0.2668142314
314	0.991416309	0.2658643822
315	0.991416309	0.2645904332
316	0.991416309	0.2638875271
317	0.9928469242	0.2628155108
318	0.9928469242	0.2617765285
319	0.9928469242	0.2609686612
320	0.9928469242	0.2597136798
321	0.9928469242	0.2589702124
322	0.9928469242	0.2582495815
323	0.9928469242	0.2577930045
324	0.9928469242	0.2568790143
325	0.9928469242	0.2558519214
326	0.9928469242	0.2551374963
327	0.9928469242	0.2543536571
328	0.9928469242	0.2534400647
329	0.9928469242	0.2527875967
330	0.9928469242	0.2526094991
331	0.9928469242	0.2516145933
332	0.9942775393	0.2507333043
333	0.9942775393	0.2493942192
334	0.9942775393	0.2489053665
335	0.9942775393	0.2476967851
336	0.9942775393	0.246948224
337	0.9942775393	0.2458872703
338	0.9942775393	0.2447468778
339	0.9942775393	0.2434439354
340	0.9942775393	0.2425971799
341	0.9942775393	0.2414648569
342	0.9942775393	0.2408065971
343	0.9942775393	0.2401518469
344	0.9942775393	0.2391654864
345	0.9942775393	0.2380686117
346	0.9942775393	0.2368736756
347	0.9942775393	0.2361591271
348	0.9942775393	0.2355228009
349	0.9957081545	0.2348453671
350	0.9957081545	0.2344994404
351	0.9957081545	0.2335991893
352	0.9957081545	0.2329093517
353	0.9957081545	0.2320617679
354	0.9957081545	0.2314289305
355	0.9971387697	0.231006785
356	0.9971387697	0.2304028599
357	0.9971387697	0.2298555393
358	0.9971387697	0.2294419679
359	0.9971387697	0.228793437
360	0.9971387697	0.2283142303
361	0.9971387697	0.2275267505
362	0.9971387697	0.226903811
363	0.9971387697	0.2259283733
364	0.9971387697	0.2250279483
365	0.9971387697	0.2244156124
366	0.9971387697	0.2236019263
367	0.9971387697	0.2232723479
368	0.9971387697	0.2225580679
369	0.9971387697	0.2217787576
370	0.9971387697	0.2210348284
371	0.9971387697	0.2206463552
372	0.9971387697	0.2198944361
373	0.9971387697	0.219175713
374	0.9971387697	0.2182531485
375	0.9971387697	0.2177243159
376	0.9971387697	0.2173470325
377	0.9971387697	0.2169002034
378	0.9971387697	0.2163638511
379	0.9985693848	0.2159657422
380	0.9985693848	0.2150241428
381	0.9985693848	0.2141791396
382	0.9985693848	0.2135709678
383	0.9985693848	0.2129462666
384	0.9985693848	0.2119897474
385	0.9985693848	0.2111302793
386	0.9985693848	0.2102229584
387	0.9985693848	0.2096880772
388	0.9985693848	0.208762168
389	0.9985693848	0.2081343085
390	0.9985693848	0.2075570208
391	0.9985693848	0.2068396724
392	0.9985693848	0.2060221182
393	0.9985693848	0.2055275476
394	1	0.205168588
395	0.9985693848	0.204449102
396	0.9985693848	0.2037649617
397	1	0.2030893077
398	1	0.2023468604
399	1	0.2018950332
400	1	0.2015359372
401	1	0.2007474978
402	1	0.1999355178
403	1	0.1993658577
404	1	0.1985737421
405	1	0.1979345985
406	1	0.1973777127
407	1	0.1969919216
408	1	0.1965437194
409	1	0.1957539712
410	1	0.1952211927
411	1	0.1946574692
412	1	0.1939560517
413	1	0.1933908207
414	1	0.1927170549
415	1	0.1922272812
416	1	0.1918400464
417	1	0.1912458518
418	1	0.190715673
419	1	0.190426432
420	1	0.1898429769
421	1	0.189261711
422	1	0.1887319504
423	1	0.1884451101
424	1	0.1879960404
425	1	0.1877324681
426	1	0.1872678592
427	1	0.1866359655
428	1	0.1863973076
429	1	0.1859675788
430	1	0.1853512485
431	1	0.1846431085
432	1	0.1841541828
433	1	0.1833608685
434	1	0.1828437931
435	1	0.182595688
436	1	0.1821372819
437	1	0.1814519017
438	1	0.1808357262
439	1	0.1802034096
440	1	0.1798528251
441	1	0.1795597025
442	1	0.1787548649
443	1	0.1785109804
444	1	0.1783093144
445	1	0.1778058233
446	1	0.1774332196
447	1	0.1768576157
448	1	0.1764938424
449	1	0.1759831142
450	1	0.1755312569
451	1	0.1750743518
452	1	0.1746225804
453	1	0.1741893855
454	1	0.1735082433
455	1	0.1728520045
456	1	0.1722476746
457	1	0.1717449001
458	1	0.171468009
459	1	0.1711352187
460	1	0.1706441026
461	1	0.1700331831
462	1	0.1698679934
463	1	0.1696017191
464	1	0.1688653583
465	1	0.1685351838
466	1	0.1682893105
467	1	0.1679739259
468	1	0.167539654
469	1	0.1670614001
470	1	0.1665999088
471	1	0.1661520818
472	1	0.1655587057
473	1	0.1650278313
474	1	0.1645464448
475	1	0.1640070927
476	1	0.1633673248
477	1	0.1629493359
478	1	0.1625633041
479	1	0.1619960276
480	1	0.1616774111
481	1	0.1614132231
482	1	0.1611214489
483	1	0.1604573551
484	1	0.1599386418
485	1	0.1596891453
486	1	0.1592202194
487	1	0.1588339678
488	1	0.1583315153
489	1	0.1579422295
490	1	0.1574567519
491	1	0.1571101975
492	1	0.1567541157
493	1	0.156332244
494	1	0.1559890664
495	1	0.1556593545
496	1	0.1552248001
497	1	0.154809823
498	1	0.1544416371
499	1	0.15412162
500	1	0.1536732261
501	1	0.1533443751
502	1	0.153073514
503	1	0.1527609516
504	1	0.1523808286
505	1	0.1520667469
506	1	0.1516848923
507	1	0.1513490993
508	1	0.1510864714
509	1	0.150668312
510	1	0.1504858295
511	1	0.1500376537
512	1	0.1495683357
513	1	0.1492716573
514	1	0.1489533039
515	1	0.1487071792
516	1	0.1482994575
517	1	0.1479375371
518	1	0.1477469717
519	1	0.1474591086
520	1	0.1471899672
521	1	0.1466914617
522	1	0.1464249505
523	1	0.1459486028
524	1	0.1456275166
525	1	0.1450759151
526	1	0.1447610187
527	1	0.1443686745
528	1	0.1438479409
529	1	0.1434230521
530	1	0.1430137483
531	1	0.1426499074
532	1	0.1423075972
533	1	0.1420044233
534	1	0.1417355026
535	1	0.1413433837
536	1	0.141014806
537	1	0.1407713636
538	1	0.140456636
539	1	0.1402209248
540	1	0.1399347136
541	1	0.1395420518
542	1	0.1393779858
543	1	0.1391829968
544	1	0.1389500431
545	1	0.1387697618
546	1	0.1386462673
547	1	0.1384611611
548	1	0.1380678389
549	1	0.1377454785
550	1	0.1373699559
551	1	0.1371379385
552	1	0.1366366709
553	1	0.1363594526
554	1	0.1361405235
555	1	0.13578105
556	1	0.1355185911
557	1	0.1352588314
558	1	0.1348630556
559	1	0.1344053378
560	1	0.1339738017
561	1	0.1335716635
562	1	0.133232357
563	1	0.1328729664
564	1	0.1325888081
565	1	0.1322462907
566	1	0.1320499517
567	1	0.1317133794
568	1	0.1314220951
569	1	0.1310053988
570	1	0.1306501706
571	1	0.1303308386
572	1	0.1301566535
573	1	0.1298563335
574	1	0.1294917501
575	1	0.1291349587
576	1	0.1288322359
577	1	0.1284258341
578	1	0.1282018603
579	1	0.1277618234
580	1	0.1275190811
581	1	0.1271133585
582	1	0.1269517156
583	1	0.126783337
584	1	0.1264372295
585	1	0.1263095801
586	1	0.126175124
587	1	0.1259774175
588	1	0.1258458281
589	1	0.1255648473
590	1	0.1253629161
591	1	0.1252190162
592	1	0.1249577365
593	1	0.1247828044
594	1	0.1245342203
595	1	0.124192484
596	1	0.1239983624
597	1	0.1237978345
598	1	0.1235796059
599	1	0.1233320129
600	1	0.1231604705
601	1	0.1229211735
602	1	0.1226188162
603	1	0.122292426
604	1	0.1221293216
605	1	0.121919558
606	1	0.121536113
607	1	0.1213676409
608	1	0.1211382991
609	1	0.1208855491
610	1	0.1205367409
611	1	0.1201478954
612	1	0.1198847266
613	1	0.1196712074
614	1	0.1191836348
615	1	0.1190110243
616	1	0.1188360237
617	1	0.1185899039
618	1	0.1184181546
619	1	0.1182215933
620	1	0.1179864724
621	1	0.1176733878
622	1	0.1173574533
623	1	0.1171299051
624	1	0.1169280703
625	1	0.1166696916
626	1	0.1164526988
627	1	0.1161936516
628	1	0.1160208593
629	1	0.1157751294
630	1	0.1155655413
631	1	0.1153527657
632	1	0.1151211533
633	1	0.1149625705
634	1	0.1146879794
635	1	0.1145579538
636	1	0.1142435274
637	1	0.114040385
638	1	0.1138671804
639	1	0.113604183
640	1	0.113440742
641	1	0.1132897684
642	1	0.1129283503
643	1	0.1126258779
